"","MSSubClass","MSZoning","Alley","Neighborhood","BldgType","OverallQual","Foundation","BsmtQual","BsmtFinType1","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageFinish","GarageCars","PavedDrive","SaleCondition","SalePrice"
"19",20,"RL","0","SawyerW","1Fam",5,"PConc","4","3","Gas","Ex","Y","SBrkr",1114,0,1114,1,"Gd",6,"0","3",2,"Y","Normal",159000
"20",20,"RL","0","NAmes","1Fam",5,"CBlock","4","4","Gas","TA","Y","SBrkr",1339,0,1339,1,"TA",6,"0","3",1,"Y","Abnorml",139000
"21",60,"RL","0","NridgHt","1Fam",8,"PConc","1","6","Gas","Ex","Y","SBrkr",1158,1218,2376,3,"Gd",9,"1","2",3,"Y","Partial",325300
"22",45,"RM","1","IDOTRR","1Fam",7,"PConc","4","6","Gas","Ex","Y","0",1108,0,1108,1,"Gd",6,"1","3",1,"N","Normal",139400
"23",20,"RL","0","CollgCr","1Fam",8,"PConc","3","6","Gas","Ex","Y","SBrkr",1795,0,1795,2,"Gd",7,"1","2",2,"Y","Normal",230000
"24",120,"RM","0","MeadowV","TwnhsE",5,"PConc","3","3","Gas","TA","Y","SBrkr",1060,0,1060,1,"TA",6,"1","3",2,"Y","Normal",129900
"25",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","5","Gas","Ex","Y","SBrkr",1060,0,1060,1,"Gd",6,"1","3",1,"Y","Normal",154000
"26",20,"RL","0","NridgHt","1Fam",8,"PConc","3","6","Gas","Ex","Y","SBrkr",1600,0,1600,2,"Gd",7,"1","2",3,"Y","Normal",256300
"27",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","TA","Y","SBrkr",900,0,900,1,"Gd",5,"0","3",2,"Y","Normal",134800
"28",20,"RL","0","NridgHt","1Fam",8,"PConc","1","3","Gas","Ex","Y","SBrkr",1704,0,1704,2,"Gd",7,"1","2",3,"Y","Normal",306000
"29",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","TA","Y","SBrkr",1600,0,1600,1,"TA",6,"1","2",1,"Y","Normal",207500
"30",30,"RM","0","BrkSide","1Fam",4,"BrkTil","4","6","Gas","Fa","N","SBrkr",520,0,520,1,"Fa",4,"0","3",1,"Y","Normal",68500
"31",70,"C (all)","2","IDOTRR","1Fam",4,"BrkTil","4","6","Gas","TA","N","SBrkr",649,668,1317,1,"TA",6,"0","3",1,"N","Normal",40000
"32",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","6","Gas","Gd","Y","SBrkr",1228,0,1228,1,"Gd",6,"0","3",1,"Y","Normal",149350
"33",20,"RL","0","CollgCr","1Fam",8,"PConc","1","6","Gas","Ex","Y","SBrkr",1234,0,1234,2,"Gd",7,"0","2",2,"Y","Normal",179900
"34",20,"RL","0","NAmes","1Fam",5,"CBlock","4","5","Gas","Gd","Y","SBrkr",1700,0,1700,1,"Gd",6,"1","2",2,"Y","Normal",165500
"35",120,"RL","0","NridgHt","TwnhsE",9,"PConc","1","3","Gas","Ex","Y","SBrkr",1561,0,1561,2,"Ex",6,"1","1",2,"Y","Normal",277500
"36",60,"RL","0","NridgHt","1Fam",8,"PConc","1","6","Gas","Ex","Y","SBrkr",1132,1320,2452,3,"Gd",9,"1","1",3,"Y","Normal",309000
"37",20,"RL","0","CollgCr","1Fam",5,"PConc","3","6","Gas","Ex","Y","SBrkr",1097,0,1097,1,"TA",6,"0","3",2,"Y","Normal",145000
"38",20,"RL","0","NAmes","1Fam",5,"CBlock","4","5","Gas","Gd","Y","SBrkr",1297,0,1297,1,"TA",5,"1","1",2,"Y","Normal",153000
"39",20,"RL","0","NAmes","1Fam",5,"CBlock","4","3","Gas","TA","Y","SBrkr",1057,0,1057,1,"Gd",5,"0","3",1,"Y","Abnorml",109000
"40",90,"RL","0","Edwards","Duplex",4,"PConc","0","0","Gas","TA","N","0",1152,0,1152,2,"Fa",6,"0","0",0,"N","AdjLand",82000
"41",20,"RL","0","NAmes","1Fam",6,"CBlock","4","5","Gas","Ex","Y","SBrkr",1324,0,1324,2,"TA",6,"1","2",2,"Y","Abnorml",160000
"42",20,"RL","0","Timber","1Fam",5,"CBlock","4","2","Gas","Gd","Y","SBrkr",1328,0,1328,1,"TA",5,"1","2",1,"N","Normal",170000
"43",85,"RL","0","SawyerW","1Fam",5,"CBlock","3","1","Gas","Gd","Y","SBrkr",884,0,884,1,"Gd",5,"0","2",2,"Y","Normal",144000
"44",20,"RL","0","CollgCr","1Fam",5,"CBlock","3","4","Gas","TA","Y","SBrkr",938,0,938,1,"TA",5,"0","3",1,"Y","Normal",130250
"45",20,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","Ex","Y","0",1150,0,1150,1,"TA",6,"0","2",1,"Y","Normal",141000
"46",120,"RL","0","NridgHt","TwnhsE",9,"PConc","1","3","Gas","Ex","Y","SBrkr",1752,0,1752,2,"Ex",6,"1","2",2,"Y","Normal",319900
"47",50,"RL","0","Mitchel","1Fam",7,"PConc","1","3","Gas","Ex","Y","SBrkr",1518,631,2149,1,"Gd",6,"1","2",2,"Y","Abnorml",239686
"48",20,"FV","0","Somerst","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1656,0,1656,2,"Gd",7,"0","2",3,"Y","Normal",249700
"49",190,"RM","0","OldTown","2fmCon",4,"BrkTil","4","6","Gas","Gd","Y","SBrkr",736,716,1452,2,"TA",8,"0","0",0,"N","Partial",113000
"50",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","2","Gas","Ex","Y","SBrkr",955,0,955,1,"TA",6,"0","3",1,"Y","Normal",127000
"51",60,"RL","0","Gilbert","1Fam",6,"PConc","3","3","Gas","Gd","Y","SBrkr",794,676,1470,2,"TA",6,"0","1",2,"Y","Normal",177000
"52",50,"RM","0","BrkSide","1Fam",6,"PConc","4","6","Gas","TA","Y","SBrkr",816,0,1176,1,"TA",6,"1","3",2,"Y","Normal",114500
"53",90,"RM","0","IDOTRR","Duplex",5,"CBlock","3","4","Gas","TA","N","SBrkr",816,0,816,1,"TA",5,"0","3",2,"Y","Normal",110000
"54",20,"RL","0","Veenker","1Fam",9,"CBlock","1","3","Gas","Gd","Y","SBrkr",1842,0,1842,0,"Gd",5,"1","1",3,"Y","Normal",385000
"55",80,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","TA","Y","SBrkr",1360,0,1360,1,"TA",6,"1","3",2,"Y","Normal",130000
"56",20,"RL","0","NAmes","1Fam",6,"CBlock","4","2","Gas","Gd","Y","SBrkr",1425,0,1425,2,"TA",7,"1","2",2,"Y","Normal",180500
"57",160,"FV","2","Somerst","Twnhs",8,"PConc","3","3","Gas","Ex","Y","SBrkr",983,756,1739,2,"Gd",7,"0","1",2,"Y","Abnorml",172500
"58",60,"RL","0","CollgCr","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",860,860,1720,2,"Gd",7,"0","2",2,"Y","Normal",196500
"59",60,"RL","0","StoneBr","1Fam",10,"PConc","1","6","Gas","Ex","Y","SBrkr",1426,1519,2945,3,"Gd",10,"1","1",3,"Y","Partial",438780
"60",20,"RL","0","CollgCr","1Fam",5,"CBlock","4","1","Gas","Ex","Y","SBrkr",780,0,780,1,"TA",4,"0","3",1,"Y","Normal",124900
"61",20,"RL","0","SawyerW","1Fam",6,"PConc","3","1","Gas","Ex","Y","SBrkr",1158,0,1158,1,"Gd",5,"0","3",2,"Y","Partial",158000
"62",75,"RM","0","IDOTRR","1Fam",5,"BrkTil","4","6","Gas","TA","N","SBrkr",581,530,1111,1,"Fa",6,"0","3",1,"N","Normal",101000
"63",120,"RL","0","NridgHt","TwnhsE",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1370,0,1370,2,"Gd",6,"1","2",2,"Y","Normal",202500
"64",70,"RM","0","OldTown","1Fam",7,"BrkTil","4","6","Gas","Gd","Y","SBrkr",902,808,1710,2,"TA",9,"0","3",2,"Y","Normal",140000
"65",60,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1057,977,2034,2,"Gd",8,"0","2",2,"Y","Normal",219500
"66",60,"RL","0","NridgHt","1Fam",8,"PConc","1","6","Gas","Ex","Y","SBrkr",1143,1330,2473,2,"Gd",9,"1","2",3,"Y","Normal",317000
"67",20,"RL","0","NAmes","1Fam",7,"CBlock","3","3","Gas","TA","Y","SBrkr",2207,0,2207,2,"TA",7,"1","2",2,"Y","Normal",180000
"68",20,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1479,0,1479,2,"Gd",7,"0","2",2,"Y","Normal",226000
"69",30,"RM","0","OldTown","1Fam",4,"CBlock","4","6","Gas","TA","Y","SBrkr",747,0,747,1,"TA",4,"0","3",1,"Y","Normal",80000
"70",50,"RL","0","ClearCr","1Fam",7,"CBlock","4","2","Gas","TA","Y","SBrkr",1304,983,2287,2,"TA",7,"1","1",2,"Y","Normal",225000
"71",20,"RL","0","NAmes","1Fam",7,"CBlock","3","1","Gas","Ex","Y","SBrkr",2223,0,2223,2,"TA",8,"1","1",2,"Y","Normal",244000
"72",20,"RL","0","Mitchel","1Fam",4,"CBlock","4","1","Gas","TA","Y","SBrkr",845,0,845,1,"TA",4,"0","3",2,"Y","Normal",129500
"73",60,"RL","0","Gilbert","1Fam",7,"PConc","3","6","Gas","Gd","Y","SBrkr",885,833,1718,2,"TA",7,"1","1",2,"Y","Normal",185000
"74",20,"RL","0","NAmes","1Fam",5,"CBlock","4","1","Gas","Gd","Y","SBrkr",1086,0,1086,1,"TA",6,"0","3",2,"Y","Normal",144900
"75",50,"RM","0","OldTown","1Fam",3,"CBlock","2","6","Gas","Gd","N","SBrkr",840,765,1605,2,"TA",8,"0","3",1,"Y","Normal",107400
"76",180,"RM","0","MeadowV","Twnhs",4,"CBlock","3","3","Gas","TA","Y","SBrkr",526,462,988,1,"TA",5,"0","3",1,"Y","Normal",91000
"77",20,"RL","0","NAmes","1Fam",4,"CBlock","4","1","Gas","Ex","Y","0",952,0,952,1,"TA",4,"0","3",1,"Y","Normal",135750
"78",50,"RM","0","BrkSide","1Fam",5,"CBlock","4","2","Gas","TA","Y","SBrkr",1072,213,1285,1,"TA",6,"0","3",1,"Y","Normal",127000
"79",90,"RL","0","Sawyer","Duplex",4,"CBlock","4","6","Gas","TA","N","SBrkr",1768,0,1768,2,"TA",8,"0","0",0,"Y","Normal",136500
"80",50,"RM","1","OldTown","1Fam",5,"PConc","4","6","Gas","Gd","Y","SBrkr",682,548,1230,1,"TA",5,"0","3",2,"Y","Normal",110000
"81",60,"RL","0","NAmes","1Fam",6,"CBlock","3","5","Gas","TA","Y","SBrkr",1182,960,2142,2,"Gd",8,"1","1",1,"Y","Normal",193500
"82",120,"RM","0","Mitchel","TwnhsE",6,"PConc","1","3","Gas","Ex","Y","SBrkr",1337,0,1337,2,"TA",5,"0","1",2,"Y","Normal",153500
"83",20,"RL","0","Somerst","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1563,0,1563,2,"Gd",6,"1","2",3,"Y","Normal",245000
"84",20,"RL","0","NAmes","1Fam",5,"CBlock","4","6","Gas","Gd","Y","SBrkr",1065,0,1065,1,"TA",6,"0","3",2,"Y","Normal",126500
"85",80,"RL","0","Gilbert","1Fam",7,"PConc","3","6","Gas","Gd","Y","SBrkr",804,670,1474,2,"TA",7,"1","1",2,"Y","Normal",168500
"86",60,"RL","0","NoRidge","1Fam",8,"CBlock","3","6","Gas","Ex","Y","SBrkr",1301,1116,2417,2,"Gd",9,"1","3",2,"Y","Normal",260000
"87",60,"RL","0","Gilbert","1Fam",6,"PConc","3","6","Gas","Ex","Y","SBrkr",684,876,1560,2,"Gd",6,"1","1",2,"Y","Normal",174000
"88",160,"FV","2","Somerst","TwnhsE",6,"PConc","3","6","Gas","Ex","Y","SBrkr",612,612,1224,2,"Gd",4,"0","2",2,"Y","Partial",164500
"89",50,"C (all)","0","IDOTRR","1Fam",3,"CBlock","4","6","Gas","TA","N","SBrkr",1013,0,1526,1,"Fa",6,"0","0",0,"N","Abnorml",85000
"90",20,"RL","0","CollgCr","1Fam",4,"PConc","3","3","Gas","Ex","Y","SBrkr",990,0,990,1,"TA",5,"0","0",0,"Y","Normal",123600
"91",20,"RL","0","NAmes","1Fam",4,"Slab","0","0","Gas","TA","Y","0",1040,0,1040,1,"TA",4,"0","3",2,"Y","Normal",109900
"92",20,"RL","0","NAmes","1Fam",5,"CBlock","4","5","Gas","TA","Y","SBrkr",1235,0,1235,1,"TA",6,"0","3",2,"Y","Abnorml",98600
"93",30,"RL","1","Crawfor","1Fam",5,"BrkTil","3","1","Gas","Ex","Y","SBrkr",964,0,964,1,"TA",5,"0","3",2,"Y","Normal",163500
"94",190,"C (all)","0","OldTown","2fmCon",6,"BrkTil","4","5","Gas","Ex","N","SBrkr",1260,1031,2291,2,"TA",9,"1","3",2,"Y","Normal",133900
"95",60,"RL","0","CollgCr","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",905,881,1786,2,"Gd",7,"0","2",2,"Y","Normal",204750
"96",60,"RL","0","Gilbert","1Fam",6,"PConc","3","1","Gas","Gd","Y","SBrkr",680,790,1470,2,"TA",6,"1","1",2,"Y","Normal",185000
"97",20,"RL","0","CollgCr","1Fam",7,"PConc","3","1","Gas","Ex","Y","SBrkr",1588,0,1588,2,"Gd",6,"0","2",2,"Y","Normal",214000
"98",20,"RL","0","Edwards","1Fam",4,"CBlock","4","5","Gas","TA","Y","0",960,0,960,1,"TA",6,"0","1",1,"N","Normal",94750
"99",30,"RL","0","Edwards","1Fam",5,"BrkTil","4","1","Gas","Fa","N","SBrkr",835,0,835,1,"TA",5,"0","3",1,"Y","Abnorml",83000
"100",20,"RL","0","NAmes","1Fam",4,"CBlock","4","1","Gas","Fa","Y","SBrkr",1225,0,1225,1,"TA",6,"0","0",0,"Y","Normal",128950
"101",20,"RL","0","NWAmes","1Fam",6,"PConc","4","1","Gas","Gd","Y","SBrkr",1610,0,1610,2,"Gd",6,"1","2",2,"Y","Normal",205000
"102",60,"RL","0","SawyerW","1Fam",6,"CBlock","3","6","Gas","TA","Y","SBrkr",977,755,1732,2,"Gd",7,"1","1",2,"Y","Normal",178000
"103",90,"RL","0","SawyerW","Duplex",5,"Slab","0","0","Gas","TA","Y","SBrkr",1535,0,1535,2,"TA",8,"0","3",2,"Y","Alloca",118964
"104",20,"RL","0","CollgCr","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",1226,0,1226,2,"Gd",6,"0","2",3,"Y","Normal",198900
"105",50,"RM","0","IDOTRR","1Fam",7,"PConc","4","4","Gas","Ex","Y","0",1226,592,1818,1,"TA",7,"1","3",1,"Y","Normal",169500
"106",60,"FV","0","Somerst","1Fam",8,"PConc","1","6","Gas","Ex","Y","SBrkr",1053,939,1992,2,"Gd",9,"1","2",2,"Y","Normal",250000
"107",30,"RM","1","OldTown","1Fam",4,"BrkTil","2","6","Gas","Gd","Y","SBrkr",1047,0,1047,1,"TA",6,"0","3",1,"N","Normal",100000
"108",20,"RM","0","OldTown","1Fam",5,"CBlock","4","1","Gas","Ex","Y","SBrkr",789,0,789,1,"TA",5,"0","3",1,"Y","Partial",115000
"109",50,"RM","0","IDOTRR","1Fam",5,"CBlock","4","6","Gas","TA","N","0",997,520,1517,2,"Fa",7,"0","0",0,"N","Normal",115000
"110",20,"RL","0","NWAmes","1Fam",6,"CBlock","3","2","Gas","Ex","Y","SBrkr",1844,0,1844,2,"TA",7,"1","2",2,"Y","Normal",190000
"111",50,"RL","0","Edwards","1Fam",6,"CBlock","4","5","Gas","Gd","Y","SBrkr",1216,639,1855,2,"TA",7,"0","3",1,"Y","Normal",136900
"112",80,"RL","0","Gilbert","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",774,656,1430,2,"TA",7,"1","1",2,"Y","Normal",180000
"113",60,"RL","0","CollgCr","1Fam",7,"PConc","1","3","Gas","Ex","Y","SBrkr",1282,1414,2696,2,"Ex",10,"1","1",3,"Y","Partial",383970
"114",20,"RL","0","Crawfor","1Fam",6,"CBlock","3","1","Gas","TA","Y","SBrkr",2259,0,2259,2,"Gd",7,"1","3",2,"Y","Abnorml",217000
"115",70,"RL","0","Crawfor","1Fam",6,"CBlock","4","1","Gas","Ex","Y","SBrkr",1436,884,2320,2,"Gd",9,"1","3",1,"Y","Normal",259500
"116",160,"FV","2","Somerst","TwnhsE",6,"PConc","3","3","Gas","Gd","Y","SBrkr",729,729,1458,2,"TA",5,"1","3",2,"Y","Normal",176000
"117",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","4","Gas","TA","Y","SBrkr",1092,0,1092,1,"TA",6,"1","3",1,"Y","Normal",139000
"118",20,"RL","0","Edwards","1Fam",5,"PConc","3","6","Gas","Gd","Y","SBrkr",1125,0,1125,1,"TA",5,"0","3",2,"Y","Partial",155000
"119",60,"RL","0","SawyerW","1Fam",7,"PConc","3","3","Gas","Gd","Y","SBrkr",1699,1523,3222,3,"Gd",11,"1","3",3,"Y","Normal",320000
"120",60,"RL","0","CollgCr","1Fam",6,"PConc","3","6","Gas","Ex","Y","SBrkr",728,728,1456,2,"Gd",8,"1","1",2,"Y","Partial",163990
"121",80,"RL","0","ClearCr","1Fam",6,"CBlock","4","1","Gas","Ex","Y","SBrkr",988,0,988,1,"TA",4,"1","3",2,"Y","Normal",180000
"122",50,"RM","0","IDOTRR","1Fam",4,"PConc","4","6","Gas","Gd","Y","SBrkr",772,351,1123,1,"TA",4,"0","3",1,"N","Normal",100000
"123",20,"RL","0","NAmes","1Fam",6,"CBlock","4","2","Gas","Gd","Y","SBrkr",1080,0,1080,1,"TA",5,"0","3",1,"Y","Normal",136000
"124",120,"RL","0","SawyerW","TwnhsE",6,"PConc","3","3","Gas","Ex","Y","SBrkr",1199,0,1199,2,"Gd",5,"0","2",2,"Y","Normal",153900
"125",20,"RL","0","NWAmes","1Fam",6,"CBlock","3","6","Gas","TA","Y","SBrkr",1586,0,1586,2,"TA",7,"1","3",2,"Y","Normal",181000
"126",190,"RM","0","IDOTRR","2fmCon",6,"CBlock","4","3","Gas","Gd","N","SBrkr",520,0,754,1,"TA",5,"0","0",0,"N","Normal",84500
"127",120,"RL","0","NPkVill","TwnhsE",6,"CBlock","3","1","Gas","TA","Y","SBrkr",958,0,958,2,"TA",5,"1","2",2,"Y","Normal",128000
"128",45,"RM","0","OldTown","1Fam",5,"BrkTil","4","4","Gas","Ex","Y","SBrkr",840,0,840,1,"TA",5,"1","0",0,"N","Normal",87000
"129",60,"RL","0","NAmes","1Fam",6,"CBlock","4","2","Gas","TA","Y","SBrkr",660,688,1348,1,"TA",6,"1","2",2,"Y","Normal",155000
"130",20,"RL","0","NAmes","1Fam",5,"CBlock","4","5","Gas","TA","Y","0",1053,0,1053,1,"Ex",6,"0","2",2,"Y","Abnorml",150000
"131",60,"RL","0","NAmes","1Fam",7,"CBlock","4","5","Gas","Ex","Y","SBrkr",1216,941,2157,2,"Gd",8,"1","1",2,"Y","Normal",226000
"132",60,"RL","0","Gilbert","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",1022,1032,2054,2,"Gd",7,"1","2",2,"Y","Normal",244000
"133",20,"RL","0","NAmes","1Fam",5,"CBlock","4","5","Gas","Gd","Y","SBrkr",1327,0,1327,1,"Gd",7,"0","3",2,"Y","Normal",150750
"134",20,"RL","0","Timber","1Fam",8,"PConc","1","3","Gas","Ex","Y","SBrkr",1296,0,1296,2,"Gd",6,"0","1",2,"Y","Normal",220000
"135",20,"RL","0","Sawyer","1Fam",5,"CBlock","4","5","Gas","Gd","Y","SBrkr",1721,0,1721,2,"TA",7,"1","2",2,"Y","Normal",180000
"136",20,"RL","0","NWAmes","1Fam",7,"PConc","4","6","Gas","Gd","Y","SBrkr",1682,0,1682,2,"TA",7,"1","3",2,"Y","Normal",174000
"137",20,"RL","0","NAmes","1Fam",5,"CBlock","4","2","Gas","TA","Y","SBrkr",1214,0,1214,2,"TA",5,"1","2",1,"Y","Normal",143000
"138",90,"RL","0","Mitchel","Duplex",7,"CBlock","4","6","Gas","Gd","Y","SBrkr",1959,0,1959,3,"TA",9,"0","3",3,"Y","Family",171000
"139",60,"RL","0","CollgCr","1Fam",8,"PConc","3","3","Gas","Ex","Y","SBrkr",1004,848,1852,2,"Gd",7,"1","1",3,"Y","Normal",230000
"140",60,"RL","0","CollgCr","1Fam",6,"PConc","3","3","Gas","Ex","Y","SBrkr",928,836,1764,2,"Gd",7,"0","2",2,"Y","Normal",231500
"141",20,"RL","0","NAmes","1Fam",4,"CBlock","4","1","Gas","TA","Y","SBrkr",864,0,864,1,"TA",5,"1","0",0,"Y","Normal",115000
"142",20,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1734,0,1734,2,"Gd",7,"0","1",2,"Y","Normal",260000
"143",50,"RL","0","NAmes","1Fam",5,"CBlock","4","5","Gas","Fa","Y","SBrkr",910,475,1385,2,"TA",6,"0","3",2,"Y","Normal",166000
"144",20,"RL","0","CollgCr","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1501,0,1501,2,"Gd",6,"0","2",2,"Y","Normal",204000
"145",90,"RM","0","Sawyer","Duplex",5,"CBlock","4","5","Gas","TA","Y","SBrkr",1728,0,1728,2,"TA",10,"0","3",2,"Y","Abnorml",125000
"146",160,"RM","0","Edwards","Twnhs",6,"PConc","3","6","Gas","Ex","Y","SBrkr",970,739,1709,2,"Gd",7,"0","3",2,"Y","Normal",130000
"147",30,"RM","0","BrkSide","1Fam",5,"BrkTil","4","2","Gas","TA","Y","0",875,0,875,1,"TA",5,"0","3",1,"Y","Normal",105000
"148",60,"RL","0","Gilbert","1Fam",7,"PConc","3","6","Gas","Ex","Y","SBrkr",884,1151,2035,2,"Gd",8,"1","1",2,"Y","Normal",222500
"149",20,"RL","0","SawyerW","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1080,0,1080,1,"Gd",6,"0","0",0,"Y","Normal",141000
"150",50,"RM","0","BrkSide","1Fam",5,"BrkTil","3","6","Gas","Gd","Y","0",896,448,1344,1,"TA",7,"0","3",1,"Y","Normal",115000
"151",20,"RL","0","CollgCr","1Fam",5,"CBlock","4","2","Gas","TA","Y","SBrkr",969,0,969,1,"TA",5,"0","3",2,"Y","Normal",122000
"152",20,"RL","0","NridgHt","1Fam",8,"PConc","1","3","Gas","Ex","Y","SBrkr",1710,0,1710,2,"Gd",6,"1","2",3,"Y","Partial",372402
"153",60,"RL","0","NWAmes","1Fam",6,"CBlock","4","5","Gas","Gd","Y","SBrkr",1097,896,1993,2,"TA",8,"1","2",2,"Y","Normal",190000
"154",20,"RL","0","ClearCr","1Fam",6,"CBlock","3","2","Gas","Gd","Y","SBrkr",1252,0,1252,1,"TA",4,"1","2",2,"Y","Normal",235000
"155",30,"RM","0","OldTown","1Fam",6,"BrkTil","4","6","Gas","TA","Y","0",1200,0,1200,1,"TA",7,"0","3",1,"Y","Family",125000
"156",50,"RL","0","Edwards","1Fam",6,"BrkTil","4","6","NonGas","Fa","N","0",572,524,1096,1,"TA",5,"0","0",0,"N","Normal",79000
"157",20,"RL","0","NAmes","1Fam",5,"CBlock","0","0","Gas","TA","Y","0",1040,0,1040,1,"TA",5,"0","3",2,"Y","Normal",109500
"158",60,"RL","0","Timber","1Fam",8,"PConc","1","6","Gas","Ex","Y","SBrkr",774,1194,1968,2,"Ex",8,"1","1",3,"Y","Partial",269500
"159",60,"FV","0","Somerst","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",991,956,1947,2,"Gd",8,"1","2",2,"Y","Normal",254900
"160",60,"RL","0","Gilbert","1Fam",7,"PConc","3","3","Gas","Ex","Y","SBrkr",1392,1070,2462,2,"Gd",9,"1","2",2,"Y","Partial",320000
"161",20,"RL","0","Veenker","1Fam",6,"PConc","3","2","Gas","TA","Y","SBrkr",1232,0,1232,2,"TA",6,"0","3",2,"Y","Normal",162500
"162",60,"RL","0","NridgHt","1Fam",9,"PConc","1","3","Gas","Ex","Y","SBrkr",1572,1096,2668,2,"Ex",10,"1","1",3,"Y","Normal",412500
